id,domain,question,old_cola,new_cola,decision,manual_snippet
1,Quality Systems & QC,"Written QC policy documented, approved by laboratory director or designee, and current within 2 years?",COLA QC 1,QC 1,remapped,"quality control requirements (QC 1- QC 30), plus corrective actions to take if controls exceed those limits any applicable specialty and subspecialty QC • Run controls in the same manner as patient s"
2,Quality Systems & QC,QC performed at required frequency for all analytes and documented in the LIS or QC records?,COLA QC 2,QC 2,remapped,lity control program define: (QC 2-6) QC 2 R The frequency of performing controls? QC 3 R The number of controls to perform? QC 4 R The type of controls to perform? Many controls come in various conce
3,Quality Systems & QC,Levey-Jennings charts (or equivalent) maintained and reviewed by qualified personnel?,COLA QC 3,QC 3,remapped,"ency of performing controls? QC 3 R The number of controls to perform? QC 4 R The type of controls to perform? Many controls come in various concentrations (e.g., low, normal, high). If the manufactur"
4,Quality Systems & QC,Corrective action documented whenever QC results fall outside acceptable ranges?,COLA QC 4,QC 4,remapped,"mber of controls to perform? QC 4 R The type of controls to perform? Many controls come in various concentrations (e.g., low, normal, high). If the manufacturer does not specify that all levels of con"
5,Quality Systems & QC,QC acceptability ranges established for each analyte before patient testing resumes?,COLA QC 5,QC 5,remapped,"OLA ACCREDITATION PROGRAM QC 5 R The acceptable limits for control results? For Quantitative controls, statistical parameters (for example mean and standard deviation) for each batch and lot number of"
6,Quality Systems & QC,Medical director or designee reviews QC records at defined intervals and signs off?,COLA QC 6,LDR 1,remapped,"COLA ACCREDITATION PROGRAM LDR 1 E Does the Laboratory Director meet the General Responsibilities of the position? General Responsibilities • Must be accessible to the laboratory to provide onsite, te"
7,Quality Systems & QC,New QC lot numbers validated before being placed in service?,COLA QC 7,QC 6,remapped,bel of the control material. QC 6 R The corrective actions to take if controls exceed those limits? Patient results may not be reported if the control material does not produce the values or reaction 
8,Quality Systems & QC,Westgard or equivalent multi-rule system applied and documented for quantitative analytes?,COLA QC 8,QC 7,remapped,out of the acceptable range. QC 7 R Are appropriate reference materials used for controls? The type of reference materials which should be used for controls should be specified by the manufacturer. Th
9,Quality Systems & QC,QC failures result in patient result review and corrective action documentation before reporting?,COLA QC 9,QC 8,remapped,or a particular instrument). QC 8 R Are the materials used as controls verified by repetitive testing to meet the manufacturer’s established parameters for mean and standard deviation? To verify the m
10,Quality Systems & QC,End-of-month QC review performed and documented by department supervisor or director?,COLA QC 10,QC 9,remapped,"rent lot of quality control. QC 9 R If you use un-assayed controls, do you establish control values by doing concurrent testing with samples of known values? © 2013 COLA | PHONE 800.981.9883 | FAX 410"
11,Quality Systems & QC,Performance improvement (PI) program in place with documented objectives and outcomes?,COLA QA 1,QA 1,remapped,"O2;C5,6;U2;SU4;PST4,25,26,27, QA 1; TS 5, 45, 103; © 2013 COLA | PHONE 800.981.9883 | FAX 410.381.8611 | EMAIL info@cola.org | WEB www.cola.org | ISODOC 53-16 2 "
12,Quality Systems & QC,"Critical values policy documented with defined analyte list, limits, and communication requirements?",COLA QA 2,QA 2,remapped,reviews are to be performed. QA 2 E Has the laboratory implemented its Quality Assessment Plan and performed ongoing reviews of all processes and procedures? Quality Assessment reviews performed throu
13,Quality Systems & QC,"Critical value communication documented with read-back, time, and recipient identity for each occurrence?",COLA QA 3,QA 3,remapped,ementation of actions taken. QA 3 R Do your Quality Assessment reviews enable the laboratory to identify and correct problems? The purpose of the Quality Assessment review is to monitor whether proces
14,Quality Systems & QC,Delta check policy in place and applied to applicable analytes?,COLA QA 4,QC 10,remapped,"OLA ACCREDITATION PROGRAM QC 10 R Are manufacturer’s instructions for the use of reagents, controls, and kits followed? This criterion applies to waived and non-waived testing. Federally waived tests "
15,Quality Systems & QC,"Reference ranges established, verified, or approved by medical director or designee for all reported analytes?",COLA TM 1,APM 1,remapped,"each test, where applicable: (APM 1-19) APM 1 R The test name? APM 2 (PRE) R Directions for patient preparation; specimen collection preservation, storage and handling? These may be included in a sepa"
16,Quality Systems & QC,Specimen rejection criteria documented and staff trained on application?,COLA TM 2,APM 2,remapped,"1-19) APM 1 R The test name? APM 2 (PRE) R Directions for patient preparation; specimen collection preservation, storage and handling? These may be included in a separate section (or manual) on specim"
17,Quality Systems & QC,Amended report policy in place with documentation of amendments and notification to ordering provider?,COLA QA 5,PST 1,remapped,"tic Section (APM 15, 18, 19) PST 1 R Does your laboratory have a written procedure to correct laboratory errors when they are detected? The laboratory policy should define who to notify when an error "
18,Quality Systems & QC,Laboratory quality assessment plan reviewed and updated at least annually?,COLA QA 6,QC 11,remapped,"OLA ACCREDITATION PROGRAM QC 11 R If calibrators and controls are not available for a particular test, are these tests performed according to established methods and are alternative mechanisms used to"
19,Quality Systems & QC,Turnaround time (TAT) monitored with defined goals and documented corrective action for failures?,COLA QA 7,QC 12,remapped,al calibrators and controls. QC 12 R Are controls run in the same manner as patient specimens and rotated among all operators who perform the test? Operator variance can be a significant source of err
20,Quality Systems & QC,Proficiency testing failures trigger root cause analysis and corrective action documentation?,COLA PT 1,QA 4,remapped,ed at preventing recurrence. QA 4 R Does your Quality Assessment Program include a process to conduct follow-up reviews to assess the effectiveness of corrective actions? The Quality Assessment Progra
21,Calibration & Verification,Calibration verification performed at least every 6 months for all nonwaived tests requiring verification?,COLA CAL 1,VER 1,remapped, introduced after 4/24/2003. (VER 1-4 and VER 12). Verification ensures that the test system is operating according to expected performance standards and is capable of producing accurate and reliable 
22,Calibration & Verification,"Calibration verification records include assigned values, observed values, % recovery, and pass/fail determination?",COLA CAL 2,VER 2,remapped,ubstance tested is obtained. VER 2 R Precision? When the same number is obtained upon repetitive testing. VER 3 R Reportable patient range? The range is from the lowest to highest value for which the 
23,Calibration & Verification,"Calibration verification uses a minimum of 3 levels spanning the reportable range (low, mid, high)?",COLA CAL 3,VER 3,remapped,ned upon repetitive testing. VER 3 R Reportable patient range? The range is from the lowest to highest value for which the laboratory can verify the accuracy of the test system. The reportable range f
24,Calibration & Verification,Acceptability criteria for calibration verification defined and documented (CLIA TEa or manufacturer-stated allowable error)?,COLA CAL 4,VER 4,remapped,ns beyond the maximum range. VER 4R Reference range? The range of values expected for a given population. © 2013 COLA | PHONE 800.981.9883 | FAX 410.381.8611 | EMAIL info@cola.org | WEB www.cola.org |
25,Calibration & Verification,Failed calibration verification triggers corrective action and patient result review before reporting resumes?,COLA CAL 5,VER 5,remapped," 4, 5; PT 1, 7, 9; MA 15, 17; VER 5, 6, 7, 8, 9, 10,11;QC1,8,23,30; CO2;C5,6;U2;SU4;PST4,25,26,27, QA 1; TS 5, 45, 103; © 2013 COLA | PHONE 800.981.9883 | FAX 410.381.8611 | "
26,Calibration & Verification,Method comparison (correlation) performed before any new method or instrument placed into service?,COLA CAL 6,CA 1,remapped," day of testing. CALIBRATION CA 1 R For all non waived tests and methods, as applicable, is calibration performed at the frequency recommended by the manufacturer or at the frequency determined by the"
27,Calibration & Verification,Method comparison includes minimum 20 patient samples spanning the reportable range?,COLA CAL 7,VER 6,remapped,ubstance tested is obtained. VER 6 R Precision? The same number is obtained upon repetitive testing. VER 7 R Reportable range? The range is from the value of the minimum calibrator to the value of the
28,Calibration & Verification,"Method comparison acceptability criteria defined and applied (Pearson r, slope, bias vs. TEa)?",COLA CAL 8,CA 2,remapped, of the test system. Criteria CA 2-7 also apply. Monitor the adequacy of these frequencies in providing quality test results as a part of your Quality Assessment Plan. VER 13 R Are the established ref
29,Calibration & Verification,Correlation studies performed when multiple instruments perform the same test and documented on file?,COLA CAL 9,CA 3,remapped,bration verification is met. CA 3 R Do you follow accepted methods for calibration and calibration verification for all non-waived test systems? These instructions can be found in your instrument oper
